brand,product,url,imgSrc,name,categories,specific,hex,lightness,in_india,R,G,B
Clinique,Even Better Makeup Broad Spectrum SPF 15,https://www.ulta.com/even-better-makeup-broad-spectrum-spf-15?productId=xlsImpprod10791919,https://images.ulta.com/is/image/Ulta/2206270sw?$50px$,sienna,rock,WN 124,#845134,0.36078431372549,True,132,81,52
Revlon,ColorStay Makeup For Normal/Dry Skin,https://www.ulta.com/colorstay-makeup-normaldry-skin?productId=xlsImpprod1810159,https://images.ulta.com/is/image/Ulta/2123514sw?$50px$,cappuccino,drink,410,#BA8468,0.568627450980392,True,186,132,104
Clinique,Almost Powder Makeup,https://www.ulta.com/almost-powder-makeup?productId=xlsImpprod10791895,https://images.ulta.com/is/image/Ulta/2160691?$sm$,deep,descriptor,06,#F4F3F2,0.952941176470588,True,244,243,242
Clinique,Even Better Makeup Broad Spectrum SPF 15,https://www.ulta.com/even-better-makeup-broad-spectrum-spf-15?productId=xlsImpprod10791919,https://images.ulta.com/is/image/Ulta/2231013sw?$50px$,linen,textile,CN 08,#F4DFCF,0.884313725490196,True,244,223,207
Maybelline,Fit Me Matte + Poreless Liquid Foundation,https://www.ulta.com/fit-me-matte-poreless-liquid-foundation?productId=xlsImpprod11861007,https://images.ulta.com/is/image/Ulta/2282911sw?$50px$,warm nude,"descriptor, skin",128,#EBC099,0.76078431372549,True,235,192,153
Huda Beauty,#FauxFilter Skin Finish Buildable Coverage Foundation Stick,https://www.sephora.com/product/huda-beauty-fauxfilter-skin-finish-buildable-coverage-foundation-stick-P465324?icid2=products%20grid:p465324,/productimages/sku/s2395838+sw.jpg,chocolate truffle,food,540G,#A07A5D,0.496078431372549,True,160,122,93
Clinique,Stay Matte Oil-Free Makeup,https://www.ulta.com/stay-matte-oil-free-makeup?productId=xlsImpprod10791929,https://images.ulta.com/is/image/Ulta/2247051sw?$50px$,golden,descriptor,WN 114,#B3743E,0.472549019607843,True,179,116,62
L'Oréal,Infallible Fresh Wear 24HR Foundation,https://www.ulta.com/infallible-fresh-wear-24hr-foundation?productId=pimprod2002481,https://images.ulta.com/is/image/Ulta/2558065sw?$50px$,maple,wood,,#AF7041,0.470588235294118,True,175,112,65
Estée Lauder,Double Wear Stay In Place Matte Powder Foundation,https://www.ulta.com/double-wear-stay-in-place-matte-powder-foundation?productId=pimprod2003118,https://images.ulta.com/is/image/Ulta/2541002sw?$50px$,rich cocoa,"descriptor, food",6C1,#E8A76D,0.668627450980392,True,232,167,109
Clinique,Even Better Makeup Broad Spectrum SPF 15,https://www.ulta.com/even-better-makeup-broad-spectrum-spf-15?productId=xlsImpprod10791919,https://images.ulta.com/is/image/Ulta/2533235sw?$50px$,custard,food,CN 0.75,#F5E5D8,0.903921568627451,True,245,229,216
Huda Beauty,#FauxFilter Skin Finish Buildable Coverage Foundation Stick,https://www.sephora.com/product/huda-beauty-fauxfilter-skin-finish-buildable-coverage-foundation-stick-P465324?icid2=products%20grid:p465324,/productimages/sku/s2395671+sw.jpg,milkshake,drink,100B,#FFE3D0,0.907843137254902,True,255,227,208
Maybelline,Dream Radiant Liquid Foundation,https://www.ulta.com/dream-radiant-liquid-foundation?productId=pimprod2011884,https://images.ulta.com/is/image/Ulta/2558035sw?$50px$,java,drink,,#5F4530,0.280392156862745,True,95,69,48
Clinique,Acne Solutions Liquid Makeup,https://www.ulta.com/acne-solutions-liquid-makeup?productId=xlsImpprod10791923,https://images.ulta.com/is/image/Ulta/2218326sw?$50px$,fresh sand,"misc, rock",,#C89B71,0.613725490196078,True,200,155,113
Huda Beauty,#FauxFilter Skin Finish Buildable Coverage Foundation Stick,https://www.sephora.com/product/huda-beauty-fauxfilter-skin-finish-buildable-coverage-foundation-stick-P465324?icid2=products%20grid:p465324,/productimages/sku/s2395697+sw.jpg,cashew,food,140G,#FAE0CE,0.894117647058824,True,250,224,206
Huda Beauty,#FauxFilter Full Coverage Matte Foundation,https://www.sephora.com/product/fauxfilter-foundation-P424302?skuId=2001774&icid2=products%20grid:p424302,/productimages/sku/s2001915+sw.jpg,cinnamon,food,440G,#A06838,0.423529411764706,True,160,104,56
Clinique,Acne Solutions™ BB Cream SPF 40,https://www.sephora.com/product/acne-solutions-bb-cream-broad-spectrum-spf-40-P394252?icid2=products%20grid:p394252,/productimages/sku/s1677152+sw.jpg,light,descriptor,,#E0B095,0.731372549019608,True,224,176,149
Wet N Wild,PhotoFocus Liquid Foundation,https://www.ulta.com/photofocus-liquid-foundation?productId=xlsImpprod16731069,https://images.ulta.com/is/image/Ulta/2518276sw?$50px$,cocoa,food,,#A76941,0.454901960784314,True,167,105,65
Estée Lauder,Futurist Hydra Rescue Moisturizing Makeup SPF 45,https://www.ulta.com/futurist-hydra-rescue-moisturizing-makeup-spf-45?productId=pimprod2013152,https://images.ulta.com/is/image/Ulta/2559130sw?$50px$,tawny,color,3W1,#DCB089,0.7,True,220,176,137
Clinique,Beyond Perfecting Foundation + Concealer,https://www.ulta.com/beyond-perfecting-foundation-concealer?productId=xlsImpprod12021005,https://images.ulta.com/is/image/Ulta/2512406sw?$50px$,oat,food,WN 48,#DCA27C,0.674509803921569,True,220,162,124
Maybelline,Dream Radiant Liquid Foundation,https://www.ulta.com/dream-radiant-liquid-foundation?productId=pimprod2011884,https://images.ulta.com/is/image/Ulta/2558027sw?$50px$,fair porcelain,"descriptor, misc",,#FEF7EB,0.958823529411765,True,254,247,235
L'Oréal,Age Perfect Radiant Serum Foundation,https://www.ulta.com/age-perfect-radiant-serum-foundation?productId=pimprod2017262,https://images.ulta.com/is/image/Ulta/2569320sw?$50px$,cappuccino,drink,,#CB894B,0.545098039215686,True,203,137,75
Clinique,Beyond Perfecting Foundation + Concealer,https://www.ulta.com/beyond-perfecting-foundation-concealer?productId=xlsImpprod12021005,https://images.ulta.com/is/image/Ulta/2282767sw?$50px$,sand,rock,CN 90,#C89B71,0.613725490196078,True,200,155,113
L'Oréal,Age Perfect Radiant Serum Foundation,https://www.ulta.com/age-perfect-radiant-serum-foundation?productId=pimprod2017262,https://images.ulta.com/is/image/Ulta/2569314sw?$50px$,golden sun,"descriptor, misc",,#E9C6AD,0.796078431372549,True,233,198,173
